HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:28141	1987	23333711, 26892468	84740
HGNC:26714	682	21333378	134265
HGNC:25901	682	11572484, 17412687	84632
HGNC:311			
HGNC:312		9585434	
HGNC:7137	1220	8242616	4301
HGNC:21236	1990	10382971	653483
HGNC:7135	1145|1280	7689231, 1423625, 8353274	4299
HGNC:53447	1987		100506746
HGNC:3776	1145|1280	22065534	2334
HGNC:41334	1989		
HGNC:6473	1145|1280	8662235, 8555498	3899
HGNC:17869	1145|1280	10588740	27125
HGNC:16411		12079282	246269
HGNC:313			
HGNC:314	413	9545647, 11549317	172
HGNC:315	413	10395799, 18769991	10939
HGNC:24169			347028
HGNC:316		7517938	173
HGNC:20910		29449409	125061
HGNC:317		2580830	174
HGNC:25951	1691	14665628, 15758025, 15811338	54812
HGNC:318		1505217, 28063748	175
HGNC:16922	395|1291|403	12388557	116987
HGNC:41427	1989		100506749
HGNC:16921	395|1291|403	16079295	116986
HGNC:48633	1987	25392693, 27195672, 31186379	100130776
HGNC:16923	395|1291|403	23904596	116988
HGNC:23459	395|1291|403	12477932	119016
HGNC:23467	395|1291|403		729092
HGNC:23466	395|1291|403		414189
HGNC:23465	395|403		653268
HGNC:23464			
HGNC:23463	395|1291|403		642517
HGNC:23462			
HGNC:23659	395		653234
HGNC:29421	395|1291|403	11853319	119385
HGNC:23661	395		414224
HGNC:23499	395		728005
HGNC:23660	395		653259
HGNC:26504	1492|1321	21074048, 24094747	123624
HGNC:48617	1987		727915
HGNC:26296	1321	12738998, 21303978	79841
HGNC:27981	1321		340351
HGNC:25892	1321	21074048	84871
HGNC:41123	1987		101929721
HGNC:41482	1989		
HGNC:26147	1321	24022482	60509
HGNC:41133	1987		
HGNC:41484	1989		
HGNC:320	1253|592	7713518	177
HGNC:5175	395|1691	7637788	3267
HGNC:5177	395	9799793	3268
HGNC:24684	579	18564129, 17103452	55109
HGNC:38051			100132380
HGNC:38052			644435
HGNC:38053			391552
HGNC:38054			100129351
HGNC:51741			100128103
HGNC:51744			
HGNC:51740			100132606
HGNC:51745			100128804
HGNC:51746			100127958
HGNC:51747			100288774
HGNC:21869		15252046, 15939762, 17135245	55750
HGNC:37661			359793
HGNC:321	1648	1505983	178
HGNC:18407		11804860, 14648699, 11914032	79814
HGNC:33784	552	20643956	392636
HGNC:322			
HGNC:323		3502688	
HGNC:3262	408	10534406, 12906857, 16936728	26523
HGNC:3263	408|1776|1687	10534406, 12906857	27161
HGNC:18421	408	12906857, 29040713	192669
HGNC:18424	408	12906857, 25114291	192670
HGNC:324	46|1691	9461603, 9291118	10554
HGNC:325	46	9242711, 9212163	10555
HGNC:326	46	20537980	56894
HGNC:20885	46	26417903	56895
HGNC:20988	1989		79992
HGNC:20886	46|1691	21173190	55326
HGNC:37709			646231
HGNC:327		9187299, 9553082	8540
HGNC:328	692	9790916	10551
HGNC:24167	692	12592373	155465
HGNC:329	570	1851019, 12270958	375790
HGNC:330	1902	9119224, 9311920	181
HGNC:331			
HGNC:332		10827106	
HGNC:31917		16845400, 15908569	
HGNC:333	739|1902	6089875, 24172014	183
HGNC:334			
HGNC:335			
HGNC:17258	1492|1321	11083920	23287
HGNC:336	221	1550596	185
HGNC:337		8135787	
HGNC:338	221	1550596	186
HGNC:13539		11733189	57085
HGNC:340			
HGNC:341		2039493, 2045108	189
HGNC:14412		15240345	64902
HGNC:342			
HGNC:24618	1051	11952839, 17098863	25909
HGNC:24620			285116
HGNC:343		7079734, 6580258	191
HGNC:344	694	11904675, 16754674, 12525476	10768
HGNC:22204		24472682	23382
HGNC:44993			340844
HGNC:44994			392387
HGNC:44995			402093
HGNC:44996			129560
HGNC:44997			391470
HGNC:44998			100419714
HGNC:44999			645486
HGNC:45000			
HGNC:25230		8619474, 9110174	27245
HGNC:345			
HGNC:21575	362	15060101, 16240161	54806
HGNC:347	1220	7987395, 12153988	79026
HGNC:20125	1220	15007166	113146
HGNC:348	420	8125016	196
HGNC:346	420	1070014, 11423533	57491
HGNC:1189		26796264	10598
HGNC:20437		12504007	130872
HGNC:349	968	9322749, 7736783	197
HGNC:18075		11231637, 12066189	51327
HGNC:350		6818132, 1971852	
HGNC:13203	406	29335468	57379
HGNC:25761	823	8619474, 9110174, 17681137	64853
HGNC:54663			646050
HGNC:54664			646890
HGNC:54665			100128360
HGNC:351		12111638, 17525176	
HGNC:352	863	8912632	199
HGNC:28904	863	11230166	83543
HGNC:8768		9989411, 23217327, 25986071	9131
HGNC:44884			645120
HGNC:21411		12135761, 11980907, 15958387	84883
HGNC:26398		15764604	150209
HGNC:21607		11266118	51390
HGNC:43926			
HGNC:353			
HGNC:354			
HGNC:355		1358807	
HGNC:357	995|994	9242382, 25665578	9447
HGNC:10648		7929199, 7545917	9255
HGNC:16543			170547
HGNC:43693			100873064
HGNC:20609	1835	8666379, 18695251	7965
HGNC:358	910|1691	8972861, 9111057	9049
HGNC:359	910	10615133, 14555765, 15365173	23746
HGNC:360	88	9398840	326
HGNC:34515	1992	18789384, 19008856	100271873
HGNC:16304		11912181, 12707860, 16098053	
HGNC:23054		14691733	
HGNC:23083		14691733	
HGNC:30801		14595118	55966
HGNC:37284			389813
HGNC:20250	1403	10330178	84962
HGNC:361	356|1691	2542324	203
HGNC:362	356	8843353, 6961883	204
HGNC:24037		10092943	266920
HGNC:33542			339736
HGNC:17376	356	8288, 182062	50808
HGNC:31099			100419074
HGNC:39062			100419075
HGNC:39063			100129959
HGNC:39064			100288319
HGNC:39065			100873789
HGNC:363	356	11485571	205
HGNC:364		1639383	206
HGNC:39066			100132104
HGNC:21596			645619
HGNC:39067			100128705
HGNC:39068			100526416
HGNC:39069			649288
HGNC:365	356	10215863	26289
HGNC:366			
HGNC:49151	356	16079131, 27477389	102157402
HGNC:51678			100132086
HGNC:51679			100128817
HGNC:20091	356	21080915	122481
HGNC:26526	356	21080915	158067
HGNC:33814	356	23416111	221264
HGNC:28285		25653177	642597
HGNC:367	694|780|396	8769136, 7499250	8165
HGNC:372	396	10231032	
HGNC:373	396	10334916, 10319321	10566
HGNC:374	396	9822690, 9514854	8852
HGNC:375	396	1512224, 1618839	9495
HGNC:376	396	7721854, 9205841	9472
HGNC:377	396	9545239	9465
HGNC:378	396	9473338	10270
HGNC:29857		10748171, 10761695	26993
HGNC:49758			646114
HGNC:379	694|396	9482789, 10390370, 24475373	10142
HGNC:368	396	9326583	11216
HGNC:369	694|396	9734811, 8621616	11215
HGNC:39939			
HGNC:370	396	9000000	9590
HGNC:371	870|396|722|1691|682	9627117, 1860836	11214
